"ogrn","inn","kpp","full_name","name","okved"
1114910000480,"4909109443","490901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИТЛАЙН""","ООО ""ИТЛАЙН""","61.10"
1127847488053,"7811531478","781101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМО СИСТЕМА""","ООО ""СМО СИСТЕМА""","61.30"
1197536005787,"7536178239","753601001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР КОД""","ООО ""ИНТЕР КОД""","61.90"
1197536005919,"7513007283","751301001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОНГОЛА""","ООО ""ВОНГОЛА""","61.10"
1197627000691,"7604352760","760401001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИНГ-ЭНЕРГОСТРОЙ""","ООО ""РЭС""","61.10"
1097746001143,"7714772929","773401001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕРФОН""","ЗАО ""ИНТЕРФОН""","61.10"
1097746001979,"7728690578","772801001","ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДЖЕТТЕЛЕКОМ""","ЗАО ""ДЖЕТТЕЛ""","61.1"
1120521000819,"0521014193","052101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕВАШИ-ТЕЛЕКОМ""","ООО ""ЛЕВАШИ-ТЕЛЕКОМ""","61.1"
1120529000536,"0529911519","052901001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСЛАН""","ООО ""РУСЛАН""","61.10.1"
1120531000182,"0531012075","053101001","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОТЧЕТ-ЦЕНТР""","ООО ""ОТЧЕТ-ЦЕНТР""","61.10.4"
