"id","company_name","position","job_description","key_skills","industries"
81116767,"The Skolkovo Institute of Science and Technology","Middle Python developer","<html><body><ul> <li>Сколтех (Skoltech) — международный университет и крупный исследовательский центр, созданный в 2011 году.</li> <li>Skoltech входит в TOП-100 сильнейших вузов мира по естественным наукам (Nature Index).</li> <li>1300+ сотрудников (международный коллектив).</li> <li>15 научно-исследовательских центров (ИИ, нефтегаз, нейротех, биотех и др.).</li> <li>Лучшие практики и международная экспертная среда.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Разрабатывать микросервисы на Python.</li> <li>Взаимодействовать с front-end через API.</li> <li>Code review.</li> </ul> <p><strong>Требования к кандидату:</strong></p> <ul> <li>Высшее техническое образование;</li> <li>Навыки программирования на Python от 3-х лет;</li> <li>Дизайн, создание, использование API: REST;</li> <li>Применение паттернов проектирования: SOLID;</li> <li>Опыт использования баз данных на PostgreSQL;</li> <li>Опыт работы с Docker, CI/CD, Linux, Git;</li> <li>Опыт командной разработки по Scrum;</li> <li>Опыт документирования кода;</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Самую современную инфраструктуру для разработки, исследований и тестирования;</li> <li>Конкурентный уровень заработной платы;</li> <li>Расширенная программа ДМС (большой выбор клиник, включая стоматологию, страховку путешественника и страховку от несчастного случая);</li> <li>Возможность бронирования;</li> <li>Современный кампус с собственной парковкой;</li> <li>Гибкое начало рабочего дня (по согласованию с руководителем);</li> <li>Социальная поддержка (выплаты при рождении ребенка, консультации корпоративного психолога);</li> <li>Предоставление других льгот и доступ к разнообразным партнерским программам в соответствии с внутренними правилами;</li> <li>Хорошая Транспортная доступность (МЦД-1 до ИЦ Сколково, каждые 5­­­-10 минут ходит транспорт от станций метро Славянский бульвар, Тропарево, Кутузовская, Молодежная и Солнечная).</li> </ul> <p> </p> <p><em>Уважаемый соискатель, спасибо за интерес к вакансиям Сколтеха.</em></p> <p><em>Мы обязательно рассмотрим ваше резюме и, если квалификация и пожелания соответствуют требованиям вакансии, свяжемся с вами, чтобы запросить дополнительную информацию.</em></p></body></html>","Python; PostgreSQL; SQL; Linux; Git; SOLID; CI/CD; Docker; ООП; Flask; Django Framework; ","39.441; 7.540; "
83578226,"AERODISK","Middle Python-разработчик","<html><body><p><strong>АЭРОДИСК</strong> — аккредитованная IT-компания, которая является российским производителем инновационных решений в области хранения данных и виртуализации. Продуктами компании являются системы хранения данных АЭРОДИСК ENGINE, АЭРОДИСК ВОСТОК, гиперконвергентная система АЭРОДИСК VAIR и система виртуализации АЭРОДИСК АИСТ.</p> <p>Мы приглашаем в свою команду <strong>Python-разработчика</strong>.<br/><br/><em><strong>Коротко о главном:</strong></em></p> <ul> <li>Наша команда специализируется на разработке on-premise решений для компаний с численностью от 100 человек и более, имеющих потребность в надежном хранении данных и виртуализации.</li> <li>В нашей компании вы получите возможность углубиться в создание надежных отказоустойчивых кластерных решений, ознакомиться и применить принципы Domain-Driven Design (DDD) и Чистой Архитектуры.</li> <li>В процессе работы вы научитесь работать с операционной системой Linux и получите опыт взаимодействия с серверным и коммутационным оборудованием, на котором будет работать ваше программное обеспечение.</li> </ul> <p> </p> <p><em><strong>Чем предстоит заниматься:</strong></em></p> <ul> <li>Разработка с использованием Python3;</li> <li>Поддержание проектов компании;</li> <li>Оптимизация существующих проектов компании;</li> <li>Разработка модулей для управления системами хранения данных и виртуализации;</li> <li>Создание CLI-утилит для автоматизации рутинных задач;</li> <li>Разработка RESTful API;</li> <li>Создание модулей для интеграции инфраструктуры наших продуктов с целью формирования единой сферы управления объектами и мониторинга;</li> <li>Участие в процессе выбора и внедрения новых технологий для оптимизации процессов разработки.</li> </ul> <p><strong>Мы ждем от тебя:</strong></p> <ul> <li>Опыт коммерческой разработки на Python;</li> <li>Знание Python 3.6+</li> </ul> <p><em><strong>Что по условиям:</strong></em></p> <p>Прежде всего хотелось бы отметить, что мы - <em>аккредитованная</em> IT-компания, поэтому наши сотрудники имеют возможность оформить льготную ипотеку, а нашим IT-сотрудникам мы гарантируем отсрочку от срочной службы в армии (для военнообязанных);</p> <ul> <li>График работы 5/2 с 9 до 18, возможность гибкого начала\окончания рабочего дня;<br/><strong><em>Просим обратить внимание, что работа предполагает присутствие в офисе.<br/>Мы ЗА эффективное очное общение и сплоченность коллектива :)</em></strong></li> <li>Оформление по ТК РФ;</li> <li>Соц. пакет: ДМС + льготные условия для страхования родственников, оплата мобильной связи сотрудникам;</li> <li>Обучение за счет компании;</li> <li>Понятная и прозрачная система развития для каждого сотрудника;</li> <li>Дружелюбная атмосфера внутри компании;</li> <li>Офис в БЦ ""Кругозор"" - 10 минут от м. Калужская;</li> </ul> <p><em><strong>А еще у нас есть:</strong></em></p> <ul> <li>Корпоративные мероприятия: весенние, спортивные мероприятия летом, согревающие зимние корпоративы;</li> <li>Зона отдыха с аэрохоккеем, настольным футболом и с удобными мягкими диванами и креслами;</li> <li>Витаминные заряды каждый день в виде фруктов;</li> <li>Утренняя бодрость - неограниченное количество кофе и чая :)</li> </ul> <p><em>Если ты дочитал до конца, то сейчас узнаешь маленькую тайну: мы стараемся создать дружескую и даже семейную атмосферу в коллективе, поэтому будем очень рады видеть в своей команде активного, открытого, честного, ответственного и позитивного будущего коллегу.</em></p> <p>С нетерпением ждем отклик!</p></body></html>","Python; Git; Linux; Django Framework; Flask; JavaScript; Django; React; Широкий кругозор; Дружелюбие; Креативность; Самокритичность; Позитивное мышление; Работа в условиях многозадачности; FastAPI; ","7.540; "
83756794,"24Н Софт","Middle Python Developer","<html><body><p><strong>Наша компания специализируется на разработке программного обеспечения больших, высоконагруженных и производительных систем, созданием сервисов и клиентских приложений для букмекерских компаний.</strong></p> <p>В данный момент мы ищем Middle разработчика на продукт <em>Сканер</em>, который собирает самые разнообразные данные по спортивным матчам. Он представляет из себя ряд высоконагруженных сервисов, постоянно отслеживающих изменения по десяткам/сотням тысяч спортивных событий, и отдающих эти изменения потребителям в реальном времени.</p> <p>Мы ищем человека, который помог бы нам усилить нашу команду, улучшить охват по данным, помочь сделать работу большой системы более устойчивой и эффективной.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Добавлять в систему новые источники и виды данных — котировок, ключевых моментов спортивных событий</li> <li>Оптимизировать работу сканера — увеличивать скорость его работы, снижать объём сетевого трафика</li> <li>Повышать стабильность работы всей системы и отдельных её компонентов</li> <li>Искать и находить причины возникающих проблем производительности и несогласованности данных</li> </ul> <p><strong>Что мы ожидаем от кандидата:</strong></p> <p> </p> <ul> <li>Важен опыт с любым фреймворком <strong>кроме django</strong></li> </ul> <ul> <li>Знание современного питона (у нас Python 3.11)</li> <li>Понимание общих принципов работы с сетью — прежде всего с протоколом HTTP и вебсокетами</li> <li>Понимание асинхронной парадигмы программирования, её отличие от работы на потоках/процессах (asyncio, aiohttp, async-await синтаксис)</li> <li>Опыт работы с брокерами очередей (у нас RabbitMQ+pika)</li> <li>Опыт работы с реляционными БД (у нас PostgreSQL 14), sqlalchemy и миграциями (у нас alembic)</li> <li>Любовь к PEP8 и типизации</li> </ul> <p><em><strong>Будет преимуществом:</strong></em></p> <ul> <li>Опыт написания скрапперов/парсеров данных из открытых источников</li> <li>Углублённое знание Postgres, умение оптимизировать работу с БД</li> <li>Углублённое знание RabbitMQ, понимание отличий различных типов exchange, опыт с более тонкой настройкой очередей</li> <li>Опыт в реализации REST API на питоне, знание FastAPI</li> <li>Знакомство с JavaScript</li> <li>Знакомство с headless-браузерами, selenium, pyppeteer, playwright (у нас playwright)</li> <li>Знакомство с Grafana и InfluxDB, опыт в настройке мониторинга</li> <li>Понимание методов сжатия и форматов обмена данными по сети (cbor, msgpack, signalR)</li> <li>Наличие примеров кода</li> <li>Опыт с Docker, GitLab CI</li> </ul> <p><strong>Что мы предлагаем: </strong></p> <ul> <li>Оформление в штат аккредитованной IT-компании, официальная ""белая"" заработная плата</li> <li>Удаленный формат работы (гибкое начало/окончание рабочего дня, главное — быть на связи с 11:00-18:00 мск)</li> <li>Корпоративное обучение, тренинги</li> <li>ДМС со стоматологией после испытательного срока</li> <li>Удаленная работа или комфортный офис в 10-ти минутах от м. Домодедовская</li> </ul> <p><strong><em>Если комфортно из офиса:</em></strong></p> <ul> <li>Прекрасно оборудованное рабочее место, кухни-столовые, кофе и печеньки</li> <li>Бизнес-ланч за счет компании в Мясо&amp;Рыба «Каширская Плаза»</li> <li>Групповые занятия в I Love Fitness ТРК Vegas</li> </ul></body></html>","Python; HTTP; RabbitMQ; PostgreSQL; REST API; SQLAlchemy; aiohttp; asyncio; Асинхронное программирование; JavaScript; Grafana; Docker; Gitlab CI; ","7.540; "
84055816,"СБЕР","Middle разработчик Python","<html><body><p>Наша команда является частью крупнейшего центра киберзащиты страны. Вам предстоит участвовать в процессах по обработке данных, связанных с реагированием на инциденты кибербезопасности, которые затрагивают большое количество систем безопасности и ИТ-систем Банка.</p> <p>Мы постоянно работаем над улучшением разработанной функциональности и создаем новые сервисы, планомерно движемся от эксплуатации вендорских решений к созданию собственных продуктов. В Вашем лице ищем усиление инженерных компетенций, которые помогут осуществить данный переход.</p> <p><strong>Обязанности</strong></p> <p><strong>Что нужно будет делать?</strong></p> <ul> <li>Написание pipeline обработки данных и построения витрин;</li> <li>Работа с Airflow, написание DAG’ов;</li> <li>Построение и сопровождение конвейера данных и ETL-процессов для поддержания обеспечения качества данных;</li> <li>Конфигурация потоков данных из систем источников, их мониторинг, своевременную модификацию, оптимизацию;</li> <li>Оптимизация DAG’ов и другого существующего кода;</li> <li>Разработка и поддержка платформы исполнения моделей.</li> </ul> <p><strong>Основа нашего стека</strong></p> <ul> <li>Python, Airflow, PostgreSQL, ClickHouse, Grafana, Jira, Confluence, Bitbucket, Openshift.</li> </ul> <p><strong>Требования</strong></p> <ul> <li>Опыт коммерческой разработки на Python не менее 2-х лет;</li> <li>Понимание принципов модели распределенных вычислений;</li> <li>Опыт разработки ETL / Self service ETL процессов;</li> <li>Опыт решения ETL/data engineering задач;</li> <li>Понимание устройства и функциональности СУБД (<strong>PostgreSQL, ClickHouse</strong>);</li> <li>Опыт разработки сложных запросов на SQL;</li> <li>Развитые аналитические и коммуникативные навыки;</li> <li>Опыт работы в кросс-функциональной команде и командной разработки;</li> <li>Опыт работы с инструментами производственного процесса (Jira, Confluence, BitBucket и т.п.).</li> </ul> <p><em>Будет плюсом:</em></p> <ul> <li>Опыт автоматизации процессов ИБ и/или опыт работы в сфере ИБ;</li> <li>Опыт работы с REST сервисами;</li> <li>Опыт разработки микросервисов для внутренних инфраструктурных задач;</li> <li>Опыт работы с Grafana, разработка мониторинга на Grafana;</li> <li>Опыт работы с ELK;</li> <li>Опыт анализа данных и/или разработки моделей ML;</li> <li>Опыт настройки мониторинга качества данных.</li> </ul> <p><strong>Условия</strong></p> <ul> <li>Возможность строить успешную карьеру в самой крупной команде информационной безопасности в стране;</li> <li>Профессиональное обучение;</li> <li>Льготная ипотека для сотрудников;</li> <li>ДМС для сотрудников и льготное медицинское обслуживание для близких;</li> <li>Корпоративный фитнес-зал;</li> <li>Скидки на продукты экосистемы Сбера.</li> </ul></body></html>","","43.647; "
84054675,"FRESH AUTO","Middle Python Developer","<html><body><p> </p> <p><strong><em>ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:</em></strong></p> <ul> <li> <p>Разработка API мобильного приложения для автоматизации бизнес-процессов авторынка;</p> </li> <li> <p>Интеграция сторонних сервисов.</p> </li> </ul> <p><strong><em>ЧТО МЫ ОЖИДАЕМ:</em></strong></p> <ul> <li> <p>Опыт разработки коммерческих приложений Python от 2-х лет;</p> </li> <li> <p>Опыт работы с фреймворком Django+DRF;</p> </li> <li> <p>Опыт работы базами данных и сервисами очередей Postgres/Redis/Rabbit, а также с обработчиками сообщений: Celery и pika</p> </li> <li> <p>Знание REST, паттернов проектирования;</p> </li> <li> <p>Опыт написания тестов (Pytest);</p> </li> <li> <p>Git/GitLab.</p> </li> </ul> <p><strong><em>БУДЕТ ПЛЮСОМ:</em></strong></p> <ul> <li> <p>Опыт работы с FastAPI ;</p> </li> <li> <p>Опыт работы с SQLAlchemy+alembic и Pydantic;</p> </li> <li> <p>Современные подходы к разработке (SOLID, YAGNI, DRY, KISS);</p> </li> <li> <p>Опыт работы с высоконагруженными и распределенными системами;</p> </li> <li> <p>Опыт настройки CI/CD;</p> </li> <li> <p>Опыт профилирования и оптимизации;</p> </li> <li> <p>Опыт работы с Docker/Docker-compose/Docker Swarm;</p> </li> <li> <p>Умение принимать и обосновывать архитектурные решения, декомпозировать задачи.</p> </li> </ul> <p><strong><em>МЫ ПРЕДЛАГАЕМ:</em></strong></p> <ul> <li> <p>Трудоустройство по ТК РФ в аккредитованную IT-компанию;</p> </li> <li> <p>Возможность решать амбициозные и нетривиальные задачи;</p> </li> <li> <p>Высокий уровень автономности;</p> </li> <li> <p>Достойный уровень компенсации.</p> </li> </ul> <p><strong>Оставь отклик и присоединись к команде профессионалов!</strong></p></body></html>","FastAPI; SQLAlchemy; CI/CD; Docker; Python; Django Framework; Redis; RabbitMQ; PostgreSQL; Celery; Git; REST API; ","15.549; 15.548; 15.544; "
83574305,"РЕСТАДВАЙЗЕР","Разработчик backend Python, Middle","<html><body><p>Мы РЕСТАДВАЙЗЕР – IT компания с опытом более 6 лет и с успешно реализованными проектами на базе нейронных сетей, ML/DL и NLP.<br/><br/>Ключевой проект – разработка торговых стратегий и сигналов для нашего партнера - американского алгоритмического Хедж-Фонда, входящий в ТОП 100 мира.<br/><br/>Цель – создать платформу для разработки, тестирования и непрерывной поставки сигналов для биржевой торговли.</p> <p><strong>Что нужно делать:</strong></p> <ul> <li>Разрабатывать вместе с командой бэкенд для микросервисного решения по анализу фондового рынка,</li> <li>Разрабатывать архитектуру проекта,</li> <li>Создавать микросервисы сбора, обработки и сохранения данных, интегрированные в целевое решение, доступные для внешних пользователей,</li> <li>Писать юнит и интеграционные тесты,</li> <li>Создавать CI\CD пайплайны;</li> <li>Осуществлять поддержку разработанного решения;</li> <li>Анализировать производительность и масштабировать продукт под возрастающую нагрузку;</li> <li>Оценивать задачи и участвовать в планировании работ;</li> <li>Проводить code review;</li> <li>Работать по Agile фреймворку.</li> </ul> <p><strong>Стек</strong><strong> технологий:</strong></p> <ul> <li>Python</li> <li>Dash Plotly</li> <li>Pytorch</li> <li>BI Metabase</li> <li>PostgresDB/TimeScaleDB</li> <li>RabbitMQ (в перспективе переход на NATS JetStream)</li> <li>Redis</li> <li>Docker (в плане Kubernetes/Pulumi)</li> <li>Jira + Confluence</li> <li>Git + GitLab</li> <li>Linux</li> <li>ELK</li> </ul> <p><strong>Обязательные компетенции:</strong></p> <ul> <li>Python - опыт промышленной разработки с применением ООП;</li> <li>Опыт разработки многопоточных и асинхронных приложений на Python;</li> <li>Опыт разработки микросервисов с применением message_queue (RabbitMQ, NATS Jet Stream);</li> <li>Знание и опыт разработки SQL запросов;</li> <li>Опыт работы с Git;</li> <li>Знакомство с Linux.</li> </ul> <p><strong>Будет преимуществом:</strong></p> <ul> <li>Опыт CI/CD, мониторинга микросервисов;</li> <li>Опыт разработки с применением технологий контейнеризации (Kubernetes/Docker/Pulumi);</li> <li>Знание С++ (интеграционные компоненты содержат код на С++),</li> <li>Опыт работы с Dash plotly,</li> </ul> <p><br/><strong>Мы предлагаем:</strong></p> <p>● Конкурентная зарплата,</p> <p>● Большая независимость в работе без бюрократии,</p> <p>● Гибкая, быстро растущая команда,</p> <p>● Удаленная работа,</p> <p>● Опционы.</p></body></html>","Linux; Kafka; Kubernetes; Docker; Django; RabbitMQ; FastAPI; Python; NATS Jet Stream; CI/CD; ","7.540; "
83570495,"Betby","Middle/Senior Python Engineer","<html><body><p>At Betby, we’re at the forefront of B2B product development, revolutionizing the digital landscape for thousands of websites across the globe. As a Python Developer, you’ll play a pivotal role in shaping our cutting-edge product that will have a widespread impact.</p> <p>Our tech stack is powered by Python, utilizing the latest advancements such as Async.io, REST API, FAST API, Sanic, MongoDB, and Kafka. You’ll have the opportunity to work with these state-of-the-art modules and contribute to their continuous improvement.</p> <p>In addition to technical expertise, we value excellent communication skills. Collaboration and effective teamwork are the cornerstones of our success, and we believe in fostering an environment where everyone’s voice is heard and valued.</p> <p>To thrive in this role, we’re seeking candidates with a minimum of 5+ years of Software Engineering experience, coupled with a strong background in Python 3 development spanning at least 3+ years. Your proficiency in application monitoring and metrics collection will be highly advantageous in this role.</p> <p><strong>REQUIREMENTS</strong></p> <ul> <li>A minimum of 5+ years of professional experience with Python</li> <li>Strong expertise in async programming, with a deep understanding of its principles and best practices</li> <li>Proficiency in multithreaded programming, able to effectively manage concurrent tasks and optimize performance</li> <li>Hands-on experience with relational DBMS, ensuring efficient data storage and retrieval</li> <li>Extensive knowledge of NoSQL-storages, particularly MongoDB, to handle complex data structures with ease</li> <li>Proven track record in developing high-load services, demonstrating your ability to build robust and scalable solutions</li> <li>Strong familiarity with Unix/Linux systems, utilizing their features and tools for optimal development and deployment</li> </ul> <p><strong>RESPONSIBILITIES</strong></p> <ul> <li>Develop Web Services and Components: Leverage your expertise to create robust, efficient, and scalable web services and components. Your contributions will be integral to delivering exceptional user experiences and driving the success of our products.</li> <li>Embrace the Newest Technologies: Stay at the forefront of technological advancements by working with the latest tools and frameworks. We are committed to providing an innovative environment where you can explore and implement cutting-edge solutions to shape the future of web services.</li> <li>Document Your Work: As a dedicated professional, you understand the importance of clear and comprehensive documentation. Your role will involve documenting the development process, APIs, and system architecture, ensuring that knowledge is shared effectively across the team and beyond.</li> </ul> <p><strong>PERKS AND BENEFITS</strong></p> <p>Join our dynamic product company and experience a recruiting process like no other — one that is both timesaving and highly efficient.</p> <p>Why choose us? Here’s what we offer:</p> <ul> <li>Comprehensive health insurance to ensure your well-being</li> <li>Enjoy the peace of mind with 100% paid sick leaves</li> <li>Еmbrace the future of payment options with the ability to receive your salary in crypto</li> <li>Fuel your professional growth with access to extra education opportunities</li> <li>Recharge and relax with a generous 20 working days of paid vacation and additional days off</li> <li>We’ve got your back if you’re ready to relocate — receive full support throughout the process</li> <li>Be part of a vibrant international team united by a shared passion for excellence in product development</li> <li>Enhance your language skills with language courses tailored to your needs</li> <li>Unleash your inner adventurer with fantastic corporate events and team buildings</li> <li>Experience optimal productivity and comfort with the best new hardware for your job</li> <li>Rest assured with our welfare program, providing financial support in critical situations</li> <li>Celebrate life’s milestones with gifts for significant events such as marriage, childbirth, and more</li> <li>Join us today and unlock a world of opportunities in a company that truly values its employees</li> </ul> <p><strong>YOUR HIRING JORNEY WITH US</strong></p> <p> </p> <ul> <li>Engaging 25-minute call with a Recruiter: an exciting first connection to ensure perfect alignment of expectations from both sides</li> <li>In-depth 120-minute call with our Python Team Leader and VP of Engineering to delve into your experience, address your queries, and unlock new insights</li> </ul> <p><strong>ABOUT BETBY</strong></p> <p>Welcome to the world of Betby, where excellence meets innovation in the realm of iGaming. We proudly stand as an award-winning and rapidly expanding company, captivating the industry with our exceptional sports betting software platform. Esteemed by bookmakers worldwide, our bespoke solution boasts unrivaled risk management and comprehensive omni-support. With millions of players, hundreds of sports, and thousands of markets and outcomes, each bet unravels a captivating tale.</p> <p>Our Team: Fueling Passion, Forging Success.</p> <p>At Betby, we embody the spirit of sports passion, empowering our team with cutting-edge technologies and unwavering business acumen. Together, we push boundaries, setting new benchmarks in the industry.</p> <p>Where Innovation Thrives: Our Global Presence.</p> <p>With our main offices nestled in the vibrant locales of Riga, Latvia, and Silema, Malta, Betby offers not only a stimulating work environment but also exciting opportunities for long-term business trips and seamless relocation.</p> <p>However, geographical boundaries need not hinder your journey to greatness. We extend our hiring reach across borders, ensuring that a fervent desire to elevate your skills and a computer are the only prerequisites. Rest assured, we provide all the necessary equipment to fuel your success.</p> <p>Join Betby today and embrace a world of limitless possibilities, where your aspirations take flight, and your potential knows no bounds.</p> <p><strong>WHY JOIN OUR DREAM TEAM?</strong></p> <p>Join our extraordinary Betby family, where we’re not just coworkers, but a tight-knit group of passionate professionals united by our unwavering dedication to crafting the most exceptional B2B gaming betting products. Together, we form a bond built on support, trust, and whole-hearted fun!</p> <p>Our mission? To revolutionize online gaming, making it effortlessly enjoyable for all. No mountain is too high for us to conquer; Betby fearlessly embraces every challenge that comes our way. We thrive on quick decision-making, agile technologies, stable business practices, and above all, the sheer joy of working as a team.</p> <p>With a potent blend of boundless creativity, cutting-edge technologies, and an unyielding work ethic, we fearlessly march into the future with our heads held high. This isn’t mere small talk—our achievements speak volumes. Don’t just take our word for it, come and experience it for yourself!</p> <p>The Betby team eagerly awaits your arrival. Join us today and become a part of something extraordinary. Welcome to Betby, where dreams become reality!</p> <p><em><strong>Betby team is waiting for you :)</strong></em></p> <p><strong>TAGS</strong></p> <p>#level middle</p> <p>#relocation yes</p></body></html>","Linux; MongoDB; Python; asinc.io; fast api; rest api; kafka; Kubernetes; ","49.406; 7.540; "
84079388,"Go Ahead","Middle Backend Developer (Python)","<html><body><p><strong>Go Predicts – это self-service платформа, позволяющая владельцами приложений и сайтов в реальном времени прогнозировать долгосрочные метрики их аудитории и использовать эти прогнозы для оптимизации рекламных кампаний.</strong></p> <p>Для этого мы интегрируемся с мобильными и веб-трекерами, получаем оттуда исторические и текущие данные и отправляем обратно прогнозы по аудитории клиентов. Для генерации прогнозов используются глубокие нейронные сети, обученные на поведении пользователей в приложении, и способные предсказывать нужные клиенту метрики по текущей аудитории.</p> <p>Мы ищем специалиста, который поможет преобразовать проект из MVP в полноценный и стабильно работающий сервис.</p> <p><strong>Чем предстоит заниматься?</strong></p> <ul> <li> <p>Разработка Backend части сервиса Go Predicts, реализовывать новые фичи, фиксить баги и т.д.</p> </li> <li> <p>Разрабатывать новые сервисы в рамках Go Predicts;</p> </li> <li> <p>Разработка интеграций с рекламными площадками и трекерами (Apsflyer, Adjust, Яндекс.Метрика, Google Analytics);</p> </li> <li> <p>Покрывать тестами уже существующий код;</p> </li> <li> <p>Повышать надежность инфраструктуры сервиса и дорабатывать её;</p> </li> <li> <p>Настраивать мониторинги и алерты;</p> </li> </ul> <p><strong>Требования и ожидаемый Skill Set:</strong></p> <ul> <li> <p>Опыт программирования на python</p> </li> <li> <p>Умение покрывать код тестами</p> </li> <li> <p>Понимание принципов веб-программирования (HTTP, API, RPC)</p> </li> <li> <p>Опыт использования библиотек и фреймворков для веб-программирования</p> </li> <li> <p>Интерес к используемому нами стеку (FastAPI, Celery, Clickhouse, Postgres, Kafka, Docker)</p> </li> <li> <p>Владение процессом разработки backend от проектирования до реализации и поддержки в работе;</p> </li> <li> <p>Инициативность и смелость (желание осваивать и применять новые технологии).</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Понимание принципов архитектуры и системного дизайна;</p> </li> <li> <p>Навыки DevOps.</p> </li> </ul> <p><strong>Что мы можем предложить:</strong></p> <ul> <li> <p>Работу из офиса в Москве или удаленно из любой точки мира;</p> </li> <li> <p>Стабильную заработную плату, комфортный диджитальный офис на Новокузнецкой;</p> </li> <li> <p>Корпоративный фитнес, ДМС, индивидуальный план развития, оплату дополнительного обучения;</p> </li> <li> <p>Возможность самостоятельно ""собрать"" свой соцпакет;</p> </li> <li> <p>Каждый месяц корпоративные тусовки.</p> </li> </ul> <p><strong>Мы идеально подходим для сов, потому что наш график 5/2, с 11 до 20.</strong></p> <p><strong>Просьба указывать в сопроводительном письме, откуда узнал(а) о нашей вакансии.</strong></p></body></html>","Python; ","11.459; "
83734451,"билайн","Middle Python разработчик","<html><body><p>Сегодня<strong> билайн</strong> — компания изменений, чутко реагирующая на потребности рынка и людей. А ещё билайн — это команда, объединённая общими ценностями и общей целью — быть лидером телеком и digitalрынков, предоставляя нашим клиентам новейшие продукты и услуги, а также сервис самого высокого уровня.</p> <p><br/>Сейчас у тебя есть возможность присоединиться к лучшей команде в качестве<strong> Python разработчика</strong> на проект SCAD - система контроля и аудита дистрибьюции.</p> <p> </p> <p><strong>Твои задачи:</strong></p> <ul> <li>Развитие и поддержка существующего приложения на языке Python.</li> <li>Интеграция системы с другими внутренними проектами.</li> <li>Взаимодействие с мобильным приложением со стороны backend.</li> </ul> <p> </p> <p><strong>Что потребуется:</strong></p> <ul> <li>Опыт разработки на Python от 2-х лет.</li> <li>Опыт с одним из микрофреймворков Falcon или Flask в связке с ORM SqlAlchemy.</li> <li>Опыт работы с REST API, SOAP.</li> <li>Опыт работы с Redis, RabbitMQ.</li> <li>Опыт написания асинхронного кода.</li> <li>Знание библиотек Asyncio и aiohttp.</li> <li>Следование руководству по стилю кода PEP 8.</li> <li>Опыт работы с контейнерами.</li> <li>Желателен опыт работы с БД Oracle или PostgreSQL.</li> </ul></body></html>","Python; Flask; Redis; RabbitMQ; REST; SOAP; ","7.538; 7.539; 9.400; 9.399; "
82778051,"Xploration Capital","Middle Python(django) разработчик","<html><body><p><strong>Требования:</strong></p> <ul> <li>Опыт разработки от 3-х лет;</li> <li>Понимание и умение применять где нужно принципы SOLID/DRY/KISS;</li> <li>Знания фреймворка Django;</li> <li>Знание SQL;</li> <li>Опыт работы с Celery;</li> <li>Хорошее знание docker;</li> <li>Умение писать простой и понятный код;</li> <li>Опыт работы с NoSQL-решениями (Redis, Memcache);</li> </ul> <p><strong>Плюсом будет:</strong></p> <ul> <li>Знание OpenAPI, SwaggerUI;</li> <li>Опыт работы в Agile проектах.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка новых фичей маркетплейса</li> <li>Доработка существующего функционала продукта на основе коробочного решения</li> <li>Первые 3 месяца обучение и разработка вместе с командой коробочного решение, далее развитие проекты без команды подрядчика в команде из 7 человек.</li> </ul> <strong>Условия:</strong> <ul> <li>Гибрид. Офис – 2 дня м.Смоленская</li> <li> <p>Оформление по ТК</p> </li> <li> <p>График работы: 5/2 с 10 до 19</p> </li> <li> <p>Возможность применять свой уникальный опыт</p> </li> <li> <p>Широкие перспективы профессионального и карьерного роста</p> </li> <li> <p>Уютный офис с хорошей транспортной развязкой на Арбате</p> </li> <li> <p>Чай, кофе, конфетки и фрукты всегда ждут тебя на кухне</p> </li> </ul></body></html>","Python; Django Framework; SQL; Celery; Docker; Redis; OpenAPI; Swagger; Agile; ",""
